Name,GlyphsName,ps_name,AGL,Order,USV,Dir,shapeOrder,DesignerOrder,Fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / commet,bcp47tags,OTLang,Feat,,GlyphsAppName,Sort,
tilde,tilde,tilde,,131,02DC,,131,229,*,,,,,,,,,,,,,,,,tilde,819,
overscore,macron,macron,,153,00AF,,153,230,*,,,,,,,,,,,,,,,,macron,820,
dieresis,dieresis,dieresis,,146,00A8,,146,231,*,,,,,,,,,,,,,,,,dieresis,823,
ring,ring,ring,,119,02DA,,119,232,*,,,,,,,,,,,,,,,,ring,824,
caron,caron,caron,,118,02C7,,118,233,*,,,,,,,,,,,,,,,,caron,826,
cedilla,cedilla,cedilla,,164,00B8,,164,234,*,,,,,,,,,,,,,,,,cedilla,827,
modMacron,firsttonechinese,uni02C9,firsttonechinese,154,02C9,,154,235,*,,,,,,,,,,,,,,,,firsttonechinese,854,
absHamza,hamza-ar,uni0621,,543,0621,AL,1000,236,*,,,,,,,,,,,,,,,,hamza-ar,3310,
absHighHamza,highhamza-ar,uni0674,,1146,0674,AL,1153,237,SHLM,,,,,,,,,,,,,,,,highhamza-ar,3311,
absAlef,alef-ar,uni0627,,284,0627,AL,278,238,*,,,,,,,,,,,,,,,,alef-ar,3313,
absAlefFin,alef-ar.fina,uni0627.fina,,560,,AL,295,239,*,,,,,,,,,,,,,,,,,3313.001,
absAlefFin.postLamIni,alef-ar.postLamIni.fina,uni0627.postLamIni.fina,,1480,,AL,1122,240,*,,,,,,,,,,,,,,,,,3313.031,
absAlefFin.postLamMed,alef-ar.postLamMed.fina,uni0627.postLamMed.fina,,1500,,AL,1141,241,*,,,,,,,,,,,,,,,,,3313.041,
absAlefHamzaAbove,alefHamzaabove-ar,uni0623,,280,0623,AL,281,242,SHLM,absAlef,alef-ar,_hamza,,,,,,,,,,,,,alefHamzaabove-ar,3318,
absAlefHamzaAboveFin,alefHamzaabove-ar.fina,uni0623.fina,,556,,AL,298,243,SHLM,absAlefFin,alef-ar.fina,_hamza,,,,,,,,,,,,,,3318.001,
